ts_ns,ts_iso,elapsed_s,distance_m,spm,power,pace,calhr,calories,strokestate,status,forceplot_current_json,forceplot_complete_json
1592677000,2025-10-04T12:35:21.759,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
1866684791,2025-10-04T12:35:22.033,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
2138689166,2025-10-04T12:35:22.305,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
2404733416,2025-10-04T12:35:22.571,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
2670666625,2025-10-04T12:35:22.837,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
2942662791,2025-10-04T12:35:23.109,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
3208747958,2025-10-04T12:35:23.375,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
3482749875,2025-10-04T12:35:23.649,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
3748664041,2025-10-04T12:35:23.915,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
4014746583,2025-10-04T12:35:24.181,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
4286756500,2025-10-04T12:35:24.453,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
4552633208,2025-10-04T12:35:24.719,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
4818731250,2025-10-04T12:35:24.985,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
5092720250,2025-10-04T12:35:25.259,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
5366667166,2025-10-04T12:35:25.533,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
5638693333,2025-10-04T12:35:25.805,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
5912651291,2025-10-04T12:35:26.079,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
6184680958,2025-10-04T12:35:26.351,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
6458745208,2025-10-04T12:35:26.625,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
6724672958,2025-10-04T12:35:26.891,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
6990668708,2025-10-04T12:35:27.157,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
7264759958,2025-10-04T12:35:27.431,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
7528657625,2025-10-04T12:35:27.695,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
7802663791,2025-10-04T12:35:27.969,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
8076675375,2025-10-04T12:35:28.243,0.0,0.0,0,0,0,0,0,Wait for min speed,Ready,,
