ts_ns,ts_iso,raw_json
1592677000,2025-10-04T12:35:21.759,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
1866684791,2025-10-04T12:35:22.033,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
2138689166,2025-10-04T12:35:22.305,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
2404733416,2025-10-04T12:35:22.571,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
2670666625,2025-10-04T12:35:22.837,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
2942662791,2025-10-04T12:35:23.109,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
3208747958,2025-10-04T12:35:23.375,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
3482749875,2025-10-04T12:35:23.649,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
3748664041,2025-10-04T12:35:23.915,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
4014746583,2025-10-04T12:35:24.181,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
4286756500,2025-10-04T12:35:24.453,"{""time"": 0.0, ""distance"": 0.0, ""spm"": 0, ""power"": 0, ""pace"": 0, ""calhr"": 0, ""calories"": 0, ""heartrate"": 0, ""forceplot"": [], ""strokestate"": ""Wait for min speed"", ""status"": ""Ready"", ""userid"": ""00000"", ""type"": 1, ""state"": 0, ""inttype"": 255, ""intcount"": 0}"
